"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","23515","Enable_ensurance_required_from_admin","Suite","Wed Jun 11 15:29:27 IST 2025","passed","Wed Jun 11 15:29:51 IST 2025","com.evaa.chatbot.BookAppointmentSuccessfullyWithInsuranceTest","Test","com.evaa.chatbot.BookAppointmentSuccessfullyWithInsuranceTest","Enable_ensurance_required_from_admin"
"","0","verify_detail_on_maximeyes_site","Suite","Wed Jun 11 15:23:13 IST 2025","unknown","Wed Jun 11 15:23:13 IST 2025","com.evaa.chatbot.BookAppointmentSuccessfullyTest","Test","com.evaa.chatbot.BookAppointmentSuccessfullyTest","verify_detail_on_maximeyes_site"
"","22534","Enable_status_checking_from_admin","Suite","Wed Jun 11 15:27:25 IST 2025","passed","Wed Jun 11 15:27:47 IST 2025","com.evaa.chatbot.AppointmentStatusTest","Test","com.evaa.chatbot.AppointmentStatusTest","Enable_status_checking_from_admin"
"","22429","Test_appointment_status_for_new_patient","Suite","Wed Jun 11 15:29:02 IST 2025","passed","Wed Jun 11 15:29:25 IST 2025","com.evaa.chatbot.AppointmentStatusTest","Test","com.evaa.chatbot.AppointmentStatusTest","Test_appointment_status_for_new_patient"
"","22797","Test_appointment_status_for_existing_patient","Suite","Wed Jun 11 15:28:39 IST 2025","passed","Wed Jun 11 15:29:02 IST 2025","com.evaa.chatbot.AppointmentStatusTest","Test","com.evaa.chatbot.AppointmentStatusTest","Test_appointment_status_for_existing_patient"
"","60725","Test_book_appointment_with_insurance","Suite","Wed Jun 11 15:29:51 IST 2025","passed","Wed Jun 11 15:30:52 IST 2025","com.evaa.chatbot.BookAppointmentSuccessfullyWithInsuranceTest","Test","com.evaa.chatbot.BookAppointmentSuccessfullyWithInsuranceTest","Test_book_appointment_with_insurance"
"","51154","cancelAppointmentForExistingPatient","Suite","Wed Jun 11 15:25:16 IST 2025","passed","Wed Jun 11 15:26:07 IST 2025","com.evaa.chatbot.AppointmentCancelTest","Test","com.evaa.chatbot.AppointmentCancelTest","cancelAppointmentForExistingPatient"
"","41387","bookAppointment","Suite","Wed Jun 11 15:36:47 IST 2025","passed","Wed Jun 11 15:37:29 IST 2025","com.evaa.chatbot.RescheduleAppointmentTest","Test","com.evaa.chatbot.RescheduleAppointmentTest","bookAppointment"
"","22392","Disable_ensurance_required_from_admin","Suite","Wed Jun 11 15:30:54 IST 2025","passed","Wed Jun 11 15:31:17 IST 2025","com.evaa.chatbot.BookAppointmentSuccessfullyTest","Test","com.evaa.chatbot.BookAppointmentSuccessfullyTest","Disable_ensurance_required_from_admin"
"","42820","Test_Reschedule_an_appointment_for_new_user","Suite","Wed Jun 11 15:33:45 IST 2025","failed","Wed Jun 11 15:34:28 IST 2025","com.evaa.chatbot.RescheduleAppointmentTest","Test","com.evaa.chatbot.RescheduleAppointmentTest","Test_Reschedule_an_appointment_for_new_user"
"","12614","TestRescheduleAppointmentDisabled","Suite","Wed Jun 11 15:38:49 IST 2025","passed","Wed Jun 11 15:39:02 IST 2025","com.evaa.chatbot.RescheduleAppointmentTest","Test","com.evaa.chatbot.RescheduleAppointmentTest","TestRescheduleAppointmentDisabled"
"","7074","TestCancelAppointmentDisable","Suite","Wed Jun 11 15:27:14 IST 2025","passed","Wed Jun 11 15:27:21 IST 2025","com.evaa.chatbot.AppointmentCancelTest","Test","com.evaa.chatbot.AppointmentCancelTest","TestCancelAppointmentDisable"
